insert into PURCHASEEVENT values(1, 30, 158, (TO_DATE('01/03/2005', 'mm/dd/yyyy')), 3.46); 
insert into PURCHASEEVENT values(89, 45, 246, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 2.7); 
insert into PURCHASEEVENT values(90, 45, 240, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.18); 
insert into PURCHASEEVENT values(91, 16, 66, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.6); 
insert into PURCHASEEVENT values(92, 27, 106, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.78); 
insert into PURCHASEEVENT values(93, 53, 332, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 2.54); 
insert into PURCHASEEVENT values(94, 54, 359, (TO_DATE('01/04/2005', 'mm/dd/yyyy')), 3.26); 
insert into PURCHASEEVENT values(95, 45, 212, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 4.02); 
insert into PURCHASEEVENT values(96, 36, 117, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 4.78); 
insert into PURCHASEEVENT values(97, 56, 296, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.28); 
insert into PURCHASEEVENT values(98, 26, 174, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.64); 
insert into PURCHASEEVENT values(99, 52, 326, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.25); 
insert into PURCHASEEVENT values(100, 29, 153, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.66); 
insert into PURCHASEEVENT values(101, 5, 61, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.93); 
insert into PURCHASEEVENT values(102, 30, 124, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.92); 
insert into PURCHASEEVENT values(103, 43, 204, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.82); 
insert into PURCHASEEVENT values(104, 33, 149, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.87); 
insert into PURCHASEEVENT values(105, 56, 298, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.85); 
insert into PURCHASEEVENT values(106, 5, 88, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.2); 
insert into PURCHASEEVENT values(107, 56, 325, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.89); 
insert into PURCHASEEVENT values(108, 56, 354, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.87); 
insert into PURCHASEEVENT values(109, 12, 6, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.67); 
insert into PURCHASEEVENT values(110, 3, 5, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 4.04); 
insert into PURCHASEEVENT values(111, 46, 209, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.79); 
insert into PURCHASEEVENT values(112, 33, 172, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.08); 
insert into PURCHASEEVENT values(113, 47, 330, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.11); 
insert into PURCHASEEVENT values(114, 43, 262, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.78); 
insert into PURCHASEEVENT values(115, 38, 243, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.33); 
insert into PURCHASEEVENT values(116, 31, 167, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.9); 
insert into PURCHASEEVENT values(117, 46, 266, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 1.92); 
insert into PURCHASEEVENT values(118, 45, 210, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.27); 
insert into PURCHASEEVENT values(119, 45, 231, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.36); 
insert into PURCHASEEVENT values(120, 46, 219, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.96); 
insert into PURCHASEEVENT values(121, 56, 332, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.2); 
insert into PURCHASEEVENT values(122, 46, 184, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 4.0); 
insert into PURCHASEEVENT values(123, 45, 269, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.82); 
insert into PURCHASEEVENT values(124, 35, 96, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 4.37); 
insert into PURCHASEEVENT values(125, 45, 254, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.84); 
insert into PURCHASEEVENT values(126, 44, 260, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.78); 
insert into PURCHASEEVENT values(127, 47, 308, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.33); 
insert into PURCHASEEVENT values(128, 25, 122, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 4.77); 
insert into PURCHASEEVENT values(129, 21, 163, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.83); 
insert into PURCHASEEVENT values(130, 48, 288, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.77); 
insert into PURCHASEEVENT values(131, 56, 335, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.77); 
insert into PURCHASEEVENT values(132, 53, 357, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 1.83); 
insert into PURCHASEEVENT values(133, 54, 327, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.78); 
insert into PURCHASEEVENT values(134, 55, 355, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.82); 
insert into PURCHASEEVENT values(135, 40, 219, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 4.06); 
insert into PURCHASEEVENT values(136, 14, 73, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.5); 
insert into PURCHASEEVENT values(137, 53, 350, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.07); 
insert into PURCHASEEVENT values(138, 16, 61, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.94); 
insert into PURCHASEEVENT values(139, 6, 86, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.72); 
insert into PURCHASEEVENT values(140, 46, 231, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.51); 
insert into PURCHASEEVENT values(141, 44, 216, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 4.3); 
insert into PURCHASEEVENT values(142, 14, 32, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 4.55); 
insert into PURCHASEEVENT values(143, 29, 161, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.34); 
insert into PURCHASEEVENT values(144, 45, 201, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.87); 
insert into PURCHASEEVENT values(145, 32, 144, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.47); 
insert into PURCHASEEVENT values(146, 34, 104, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.64); 
insert into PURCHASEEVENT values(147, 36, 127, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 4.68); 
insert into PURCHASEEVENT values(148, 52, 341, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.49); 
insert into PURCHASEEVENT values(149, 33, 135, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 5.4); 
insert into PURCHASEEVENT values(150, 33, 139, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.73); 
insert into PURCHASEEVENT values(151, 10, 19, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.29); 
insert into PURCHASEEVENT values(152, 1, 27, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.57); 
insert into PURCHASEEVENT values(153, 28, 149, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.57); 
insert into PURCHASEEVENT values(154, 24, 114, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.92); 
insert into PURCHASEEVENT values(155, 45, 197, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.08); 
insert into PURCHASEEVENT values(156, 21, 130, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 4.08); 
insert into PURCHASEEVENT values(157, 43, 248, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.31); 
insert into PURCHASEEVENT values(158, 55, 310, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 4.82); 
insert into PURCHASEEVENT values(159, 38, 253, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 2.7); 
insert into PURCHASEEVENT values(160, 15, 22, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.76); 
insert into PURCHASEEVENT values(161, 38, 195, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.62); 
insert into PURCHASEEVENT values(162, 32, 163, (TO_DATE('01/05/2005', 'mm/dd/yyyy')), 3.16); 
insert into PURCHASEEVENT values(163, 34, 94, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.44); 
insert into PURCHASEEVENT values(164, 21, 92, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 4.57); 
insert into PURCHASEEVENT values(165, 4, 8, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.96); 
insert into PURCHASEEVENT values(166, 31, 119, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.35); 
insert into PURCHASEEVENT values(167, 54, 340, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.07); 
insert into PURCHASEEVENT values(168, 30, 172, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.12); 
insert into PURCHASEEVENT values(169, 39, 222, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 4.89); 
insert into PURCHASEEVENT values(170, 13, 27, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.75); 
insert into PURCHASEEVENT values(171, 26, 158, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 4.17); 
insert into PURCHASEEVENT values(172, 46, 262, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 2.8); 
insert into PURCHASEEVENT values(173, 42, 259, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 1.97); 
insert into PURCHASEEVENT values(174, 6, 33, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 4.11); 
insert into PURCHASEEVENT values(175, 56, 316, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.24); 
insert into PURCHASEEVENT values(176, 26, 101, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 4.26); 
insert into PURCHASEEVENT values(177, 34, 177, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 2.67); 
insert into PURCHASEEVENT values(178, 44, 244, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 2.86); 
insert into PURCHASEEVENT values(179, 55, 305, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.58); 
insert into PURCHASEEVENT values(180, 33, 110, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 4.37); 
insert into PURCHASEEVENT values(181, 30, 173, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.08); 
insert into PURCHASEEVENT values(182, 50, 298, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.04); 
insert into PURCHASEEVENT values(183, 3, 33, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.6); 
insert into PURCHASEEVENT values(184, 36, 105, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.98); 
insert into PURCHASEEVENT values(185, 30, 99, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 4.14); 
insert into PURCHASEEVENT values(186, 45, 269, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 2.95); 
insert into PURCHASEEVENT values(187, 38, 188, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 4.01); 
insert into PURCHASEEVENT values(188, 16, 87, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.81); 
insert into PURCHASEEVENT values(189, 2, 27, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.24); 
insert into PURCHASEEVENT values(190, 43, 269, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 2.46); 
insert into PURCHASEEVENT values(191, 31, 145, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.76); 
insert into PURCHASEEVENT values(192, 1, 9, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 4.34); 
insert into PURCHASEEVENT values(193, 13, 7, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 4.22); 
insert into PURCHASEEVENT values(194, 52, 343, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 2.78); 
insert into PURCHASEEVENT values(195, 43, 187, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 2.9); 
insert into PURCHASEEVENT values(196, 50, 351, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 2.44); 
insert into PURCHASEEVENT values(197, 46, 210, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.76); 
insert into PURCHASEEVENT values(198, 48, 328, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.16); 
insert into PURCHASEEVENT values(199, 35, 143, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.52); 
insert into PURCHASEEVENT values(200, 32, 150, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.8); 
insert into PURCHASEEVENT values(201, 42, 265, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 2.1); 
insert into PURCHASEEVENT values(202, 33, 114, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.57); 
insert into PURCHASEEVENT values(203, 28, 123, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.97); 
insert into PURCHASEEVENT values(204, 40, 192, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.71); 
insert into PURCHASEEVENT values(205, 41, 181, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.25); 
insert into PURCHASEEVENT values(206, 55, 278, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.7); 
insert into PURCHASEEVENT values(207, 34, 176, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 2.95); 
insert into PURCHASEEVENT values(208, 18, 168, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 2.47); 
insert into PURCHASEEVENT values(209, 32, 167, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 2.65); 
insert into PURCHASEEVENT values(210, 42, 216, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.63); 
insert into PURCHASEEVENT values(211, 33, 137, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 2.78); 
insert into PURCHASEEVENT values(212, 53, 338, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 3.43); 
insert into PURCHASEEVENT values(213, 36, 138, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 4.27); 
insert into PURCHASEEVENT values(214, 28, 174, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 3.02); 
insert into PURCHASEEVENT values(215, 50, 337, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 2.67); 
insert into PURCHASEEVENT values(216, 47, 335, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 2.85); 
insert into PURCHASEEVENT values(217, 55, 277, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 4.25); 
insert into PURCHASEEVENT values(218, 34, 152, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 3.48); 
insert into PURCHASEEVENT values(219, 44, 248, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 2.53); 
insert into PURCHASEEVENT values(220, 15, 38, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 4.41); 
insert into PURCHASEEVENT values(221, 53, 318, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 2.59); 
insert into PURCHASEEVENT values(222, 36, 137, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 3.02); 
insert into PURCHASEEVENT values(223, 12, 70, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 3.95); 
insert into PURCHASEEVENT values(224, 35, 156, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 3.09); 
insert into PURCHASEEVENT values(225, 53, 279, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 4.21); 
insert into PURCHASEEVENT values(226, 17, 108, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 3.79); 
insert into PURCHASEEVENT values(227, 4, 62, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 3.16); 
insert into PURCHASEEVENT values(228, 53, 341, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 3.44); 
insert into PURCHASEEVENT values(229, 51, 347, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 3.29); 
insert into PURCHASEEVENT values(230, 52, 311, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 3.56); 
insert into PURCHASEEVENT values(231, 53, 324, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 3.66); 
insert into PURCHASEEVENT values(232, 33, 144, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 3.66); 
insert into PURCHASEEVENT values(233, 43, 193, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 3.99); 
insert into PURCHASEEVENT values(234, 12, 35, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 4.32); 
insert into PURCHASEEVENT values(235, 33, 167, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 3.01); 
insert into PURCHASEEVENT values(236, 16, 38, (TO_DATE('01/07/2005', 'mm/dd/yyyy')), 4.99); 
