insert into RESTOCKEVENT values(1, 201, (TO_DATE('01/06/2005', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(90, 20, (TO_DATE('03/14/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(91, 63, (TO_DATE('03/15/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(92, 280, (TO_DATE('03/16/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(93, 248, (TO_DATE('03/16/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(94, 114, (TO_DATE('03/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(95, 272, (TO_DATE('03/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(96, 333, (TO_DATE('03/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(97, 157, (TO_DATE('03/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(98, 266, (TO_DATE('03/21/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(99, 293, (TO_DATE('03/22/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(100, 22, (TO_DATE('03/22/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(101, 282, (TO_DATE('03/22/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(102, 253, (TO_DATE('03/22/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(103, 226, (TO_DATE('03/23/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(104, 12, (TO_DATE('03/24/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(105, 286, (TO_DATE('03/24/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(106, 356, (TO_DATE('03/27/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(107, 264, (TO_DATE('03/28/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(108, 317, (TO_DATE('03/29/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(109, 133, (TO_DATE('03/30/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(110, 145, (TO_DATE('03/30/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(111, 348, (TO_DATE('03/30/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(112, 122, (TO_DATE('03/30/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(113, 158, (TO_DATE('03/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(114, 270, (TO_DATE('03/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(115, 55, (TO_DATE('03/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(116, 100, (TO_DATE('03/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(117, 276, (TO_DATE('03/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(118, 302, (TO_DATE('03/31/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(119, 290, (TO_DATE('04/03/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(120, 312, (TO_DATE('04/04/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(121, 13, (TO_DATE('04/04/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(122, 214, (TO_DATE('04/05/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(123, 108, (TO_DATE('04/05/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(124, 6, (TO_DATE('04/06/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(125, 150, (TO_DATE('04/07/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(126, 212, (TO_DATE('04/07/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(127, 221, (TO_DATE('04/10/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(128, 288, (TO_DATE('04/12/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(129, 304, (TO_DATE('04/12/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(130, 177, (TO_DATE('04/13/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(131, 87, (TO_DATE('04/13/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(132, 174, (TO_DATE('04/14/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(133, 98, (TO_DATE('04/14/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(134, 1, (TO_DATE('04/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(135, 292, (TO_DATE('04/17/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(136, 154, (TO_DATE('04/18/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(137, 66, (TO_DATE('04/18/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(138, 359, (TO_DATE('04/18/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(139, 234, (TO_DATE('04/19/2006', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(140, 193, (TO_DATE('01/27/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(141, 163, (TO_DATE('01/27/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(142, 259, (TO_DATE('01/28/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(143, 86, (TO_DATE('01/28/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(144, 162, (TO_DATE('01/30/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(145, 188, (TO_DATE('01/30/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(146, 91, (TO_DATE('01/30/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(147, 203, (TO_DATE('01/30/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(148, 8, (TO_DATE('02/03/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(149, 284, (TO_DATE('02/03/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(150, 147, (TO_DATE('02/03/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(151, 125, (TO_DATE('02/05/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(152, 96, (TO_DATE('02/05/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(153, 52, (TO_DATE('02/05/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(154, 340, (TO_DATE('02/05/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(155, 128, (TO_DATE('02/06/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(156, 70, (TO_DATE('02/07/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(157, 132, (TO_DATE('02/07/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(158, 156, (TO_DATE('02/10/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(159, 51, (TO_DATE('02/10/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(160, 88, (TO_DATE('02/10/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(161, 180, (TO_DATE('02/10/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(162, 197, (TO_DATE('02/11/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(163, 104, (TO_DATE('02/11/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(164, 23, (TO_DATE('02/11/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(165, 196, (TO_DATE('02/11/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(166, 345, (TO_DATE('02/12/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(167, 10, (TO_DATE('02/13/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(168, 131, (TO_DATE('02/13/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(169, 331, (TO_DATE('02/13/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(170, 2, (TO_DATE('02/17/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(171, 62, (TO_DATE('02/18/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(172, 44, (TO_DATE('02/18/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(173, 260, (TO_DATE('02/20/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(174, 357, (TO_DATE('02/21/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(175, 170, (TO_DATE('02/21/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(176, 328, (TO_DATE('02/21/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(177, 77, (TO_DATE('02/25/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(178, 246, (TO_DATE('02/26/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(179, 60, (TO_DATE('02/27/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(180, 325, (TO_DATE('02/27/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(181, 19, (TO_DATE('02/28/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(182, 34, (TO_DATE('02/28/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(183, 78, (TO_DATE('02/28/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(184, 269, (TO_DATE('03/03/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(185, 327, (TO_DATE('03/03/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(186, 33, (TO_DATE('03/03/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(187, 289, (TO_DATE('03/03/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(188, 151, (TO_DATE('03/03/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(189, 32, (TO_DATE('03/04/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(190, 240, (TO_DATE('03/04/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(191, 308, (TO_DATE('03/05/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(192, 68, (TO_DATE('03/05/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(193, 75, (TO_DATE('03/05/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(194, 36, (TO_DATE('03/05/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(195, 49, (TO_DATE('03/06/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(196, 178, (TO_DATE('03/07/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(197, 296, (TO_DATE('03/07/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(198, 283, (TO_DATE('03/10/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(199, 220, (TO_DATE('03/10/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(200, 219, (TO_DATE('03/11/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(201, 80, (TO_DATE('03/12/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(202, 175, (TO_DATE('03/14/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(203, 231, (TO_DATE('03/17/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(204, 42, (TO_DATE('03/17/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(205, 297, (TO_DATE('03/17/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(206, 239, (TO_DATE('03/19/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(207, 120, (TO_DATE('03/19/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(208, 315, (TO_DATE('03/19/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(209, 183, (TO_DATE('03/19/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(210, 155, (TO_DATE('03/20/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(211, 3, (TO_DATE('03/20/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(212, 216, (TO_DATE('03/21/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(213, 25, (TO_DATE('03/24/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(214, 213, (TO_DATE('03/24/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(215, 112, (TO_DATE('03/24/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(216, 138, (TO_DATE('03/24/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(217, 355, (TO_DATE('03/25/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(218, 136, (TO_DATE('03/25/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(219, 324, (TO_DATE('03/25/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(220, 192, (TO_DATE('03/26/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(221, 271, (TO_DATE('03/26/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(222, 9, (TO_DATE('03/27/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(223, 236, (TO_DATE('03/27/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(224, 130, (TO_DATE('03/27/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(225, 319, (TO_DATE('03/28/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(226, 303, (TO_DATE('03/31/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(227, 113, (TO_DATE('04/01/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(228, 232, (TO_DATE('04/01/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(229, 242, (TO_DATE('04/02/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(230, 16, (TO_DATE('04/02/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(231, 115, (TO_DATE('04/03/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(232, 330, (TO_DATE('04/03/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(233, 84, (TO_DATE('04/04/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(234, 4, (TO_DATE('04/04/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(235, 285, (TO_DATE('04/07/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(236, 307, (TO_DATE('04/08/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(237, 11, (TO_DATE('04/08/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(238, 148, (TO_DATE('04/08/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(239, 119, (TO_DATE('04/09/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(240, 287, (TO_DATE('04/09/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(241, 335, (TO_DATE('04/10/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(242, 140, (TO_DATE('04/10/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(243, 251, (TO_DATE('04/10/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(244, 261, (TO_DATE('04/11/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(245, 45, (TO_DATE('04/11/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(246, 343, (TO_DATE('04/11/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(247, 69, (TO_DATE('04/14/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(248, 320, (TO_DATE('04/15/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(249, 349, (TO_DATE('04/15/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(250, 58, (TO_DATE('04/15/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(251, 350, (TO_DATE('04/16/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(252, 135, (TO_DATE('04/17/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(253, 275, (TO_DATE('04/17/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(254, 244, (TO_DATE('04/17/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(255, 123, (TO_DATE('04/18/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(256, 258, (TO_DATE('04/18/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(257, 309, (TO_DATE('04/21/2025', 'mm/dd/yyyy')), 100); 
insert into RESTOCKEVENT values(258, 161, (TO_DATE('04/21/2025', 'mm/dd/yyyy')), 100); 
